"movie_title","no_of_char","character_name"
"Apache Divine","4","Nick Wahlberg, Cuba Olivier, Anne Cronyn, Henry Berry"
"Apocalypse Flamingos","5","Mae Hoffman, Vivien Basinger, Oprah Kilmer, Will Wilson, Russell Close"
"Apollo Teen","8","Mae Hoffman, Woody Jolie, Ed Mansfield, Albert Johansson, Oprah Kilmer, Mena Hopper, Jeff Silverstone, Debbie Akroyd"
"Arabia Dogma","12","Karl Berry, Rip Crawford, Julia Mcqueen, Johnny Cage, Jude Cruise, Sean Williams, Burt Posey, Walter Torn, Russell Bacall, Frances Tomei, Greta Malden, Lisa Monroe"
"Arachnophobia Rollercoaster","8","Grace Mostel, Judy Dean, Daryl Wahlberg, Morgan Hopkins, Cuba Allen, Rita Reynolds, Ewan Gooding, Humphrey Garland"
"Argonauts Town","5","Julia Barrymore, Gary Penn, Gene Willis, Dan Streep, Kevin Garland"
"Arizona Bang","4","Karl Berry, Ray Johansson, Russell Bacall, Greta Keitel"
"Ark Ridgemont","3","Parker Goldberg, Nick Degeneres, Audrey Bailey"
"Armageddon Lost","7","Angela Hudson, James Pitt, Penelope Cronyn, Cuba Allen, Kim Allen, Gene Mckellen, Gregory Gooding"
"Army Flintstones","7","Ed Chase, Cary Mcconaughey, Mae Hoffman, Gene Willis, Penelope Cronyn, Matthew Carrey, Russell Close"
"Arsenic Independence","3","Cuba Allen, Rita Reynolds, Oprah Kilmer"
"Artist Coldblooded","7","Ed Chase, Sandra Kilmer, Kirk Jovovich, Jayne Neeson, Sidney Crowe, Renee Tracy, Meryl Allen"
"Atlantis Cause","9","Woody Hoffman, Audrey Olivier, Julianne Dench, Frances Tomei, Greta Keitel, Cate Harris, Chris Depp, Harvey Hope, Cuba Birch"
"Attacks Hate","4","Dan Torn, Milla Keitel, Groucho Dunst, Burt Temple"
"Attraction Newton","4","Uma Wood, Rip Winslet, Gary Penn, Christopher West"
"Autumn Crow","3","Dustin Tautou, Angela Hudson, James Pitt"
"Baby Hall","8","Nick Wahlberg, Matthew Johansson, Charlize Dench, Daryl Wahlberg, Kevin Garland, River Dean, Minnie Kilmer, Vivien Basinger"
"Backlash Undefeated","7","Christian Akroyd, Spencer Peck, Christopher Berry, Sylvester Dern, Dan Streep, Kevin Garland, Jane Jackman"
"Badman Dawn","8","Ben Willis, Harrison Bale, Cuba Allen, Warren Jackman, Greta Keitel, Olympia Pfeiffer, Alan Dreyfuss, Thora Temple"
"Baked Cleopatra","1","Michelle Mcconaughey"
"Balloon Homeward","6","Parker Goldberg, Mena Temple, Gary Penn, Richard Penn, Renee Ball, Rock Dukakis"
"Ballroom Mockingbird","7","Judy Dean, Adam Grant, Ben Willis, Daryl Wahlberg, Harrison Bale, Lucille Dee, Gene Mckellen"
"Bang Kwai","7","Bette Nicholson, Sandra Peck, Julia Barrymore, Michelle Mcconaughey, Walter Torn, Russell Temple, Fay Wood"
"Banger Pinocchio","6","Johnny Lollobrigida, Lucille Tracy, Dustin Tautou, Jayne Neeson, Gene Willis, Audrey Bailey"
"Barbarella Streetcar","5","Mary Tandy, Cuba Allen, Nick Degeneres, Alan Dreyfuss, Gene Mckellen"
"Barefoot Manchurian","8","Jennifer Davis, Elvis Marx, Milla Peck, Kirk Jovovich, Daryl Crawford, Ed Mansfield, Morgan Williams, Will Wilson"
"Basic Easy","6","Jessica Bailey, Penelope Monroe, Greta Keitel, Ewan Gooding, Emily Dee, Groucho Williams"
"Beach Heartbreakers","7","Woody Hoffman, Nick Stallone, Mena Temple, Ben Willis, Gene Willis, Frances Tomei, Harvey Hope"
"Bear Graceland","3","Scarlett Damon, Penelope Cronyn, Ben Harris"
"Beast Hunchback","5","Bette Nicholson, Jodie Degeneres, Angelina Astaire, Kenneth Torn, Susan Davis"
"Beauty Grease","5","Cameron Zellweger, Ed Mansfield, Lucille Dee, Nick Degeneres, Michael Bening"
"Bed Highball","5","Jennifer Davis, Gina Degeneres, Susan Davis, Albert Nolte, Audrey Bailey"
"Bedazzled Married","7","Lucille Tracy, Gary Phoenix, Dan Harris, Penelope Monroe, Jayne Nolte, Laurence Bullock, Reese West"
"Beethoven Exorcist","6","Sandra Peck, Warren Jackman, Scarlett Bening, Minnie Kilmer, Vivien Basinger, Bela Walken"
"Behavior Runaway","5","Tim Hackman, Reese Kilmer, Daryl Wahlberg, Rita Reynolds, Ed Guiness"
"Beneath Rush","7","Reese Kilmer, Angelina Astaire, Gene Willis, Chris Bridges, Susan Davis, Jane Jackman, Vivien Basinger"
"Berets Agent","10","Grace Mostel, Julia Barrymore, Jessica Bailey, Julianne Dench, Cate Harris, Angela Witherspoon, Ian Tandy, William Hackman, Meryl Allen, Julia Fawcett"
"Betrayed Rear","4","Christian Akroyd, Angelina Astaire, Morgan Mcdormand, Nick Degeneres"
"Beverly Outlaw","4","Sandra Peck, Jodie Degeneres, Ralph Cruz, John Suvari"
"Bikini Borrowers","2","Bette Nicholson, Penelope Cronyn"
"Bilko Anonymous","3","Goldie Brody, Ellen Presley, Russell Close"
"Bill Others","6","Dustin Tautou, Minnie Zellweger, Chris Bridges, Russell Temple, Al Garland, Laurence Bullock"
"Bingo Talented","5","Goldie Brody, Cameron Wray, Cary Mcconaughey, Jon Chase, Renee Ball"
"Birch Antitrust","6","Joe Swank, Woody Hoffman, Daryl Wahlberg, Ewan Gooding, Alan Dreyfuss, Matthew Carrey"
"Bird Independence","2","Fay Kilmer, Jayne Nolte"
"Birdcage Casper","4","Kenneth Pesci, Kenneth Torn, Salma Nolte, Renee Ball"
"Birds Perdition","4","Sandra Peck, Gary Penn, Sylvester Dern, Whoopi Hurt"
"Blackout Private","5","Sandra Kilmer, Cary Mcconaughey, Cameron Zellweger, Kenneth Hoffman, Matthew Carrey"
"Blade Polish","5","Jennifer Davis, Alec Wayne, Kevin Garland, River Dean, Angela Witherspoon"
"Blanket Beverly","4","Fred Costner, Alan Dreyfuss, Burt Temple, Thora Temple"
"Blindness Gun","3","Burt Dukakis, Chris Bridges, Adam Hopper"
"Blood Argonauts","4","Cate Mcqueen, Adam Hopper, Laura Brody, Cuba Birch"
"Blues Instinct","4","Cameron Streep, Groucho Dunst, Salma Nolte, Matthew Carrey"
"Boiled Dares","8","Dan Torn, Tim Hackman, Nick Stallone, Penelope Pinkett, Jim Mostel, Morgan Hopkins, Gregory Gooding, Julia Fawcett"
"Bonnie Holocaust","9","Johnny Lollobrigida, Julia Mcqueen, Henry Berry, Minnie Zellweger, Susan Davis, Frances Tomei, Fay Winslet, Oprah Kilmer, Ed Guiness"
"Boogie Amelie","6","Kevin Bloom, Jodie Degeneres, Groucho Sinatra, Nick Degeneres, Gene Mckellen, Meryl Allen"
"Boondock Ballroom","13","Ed Chase, Jennifer Davis, Uma Wood, Fred Costner, Kirsten Paltrow, Sandra Peck, Dan Harris, Ray Johansson, Kenneth Pesci, Chris Bridges, Warren Jackman, Humphrey Garland, Audrey Bailey"
"Born Spinal","9","Kirsten Paltrow, Sissy Sobieski, Nick Stallone, Dustin Tautou, Ray Johansson, Kenneth Paltrow, Dan Streep, Rita Reynolds, Meryl Allen"
"Borrowers Bedazzled","7","Cuba Olivier, Elvis Marx, Kirk Jovovich, Scarlett Damon, Daryl Crawford, Harvey Hope, Jon Chase"
"Boulevard Mob","8","Rip Crawford, Audrey Olivier, Kirsten Akroyd, Morgan Mcdormand, Dan Streep, Ewan Gooding, Angela Witherspoon, Harvey Hope"
"Bound Cheaper","2","Karl Berry, Cuba Olivier"
"Bowfinger Gables","5","Karl Berry, Carmen Hunt, Michelle Mcconaughey, Minnie Zellweger, Will Wilson"
"Brannigan Sunrise","2","Rip Crawford, Kenneth Hoffman"
"Braveheart Human","4","Nick Stallone, Kirsten Akroyd, Jane Jackman, Jayne Nolte"
"Breakfast Goldfinger","5","Angelina Astaire, Russell Temple, Al Garland, Michael Bolger, Julia Zellweger"
"Breaking Home","6","Grace Mostel, Helen Voight, Woody Hoffman, Carmen Hunt, Frances Tomei, Morgan Williams"
"Bride Intrigue","1","Angela Hudson"
"Bright Encounters","4","Cameron Zellweger, Albert Nolte, Renee Ball, Meryl Allen"
"Bringing Hysterical","2","Frances Day-Lewis, Angela Witherspoon"
"Brooklyn Desert","5","Jodie Degeneres, Jayne Neeson, Sean Guiness, Albert Nolte, Groucho Williams"
"Brotherhood Blanket","5","Fred Costner, Frances Day-Lewis, Jude Cruise, Jayne Neeson, Daryl Crawford"
"Bubble Grosse","3","Vivien Basinger, Mena Hopper, Rock Dukakis"
"Bucket Brotherhood","6","Rip Crawford, Tim Hackman, Gary Phoenix, Charlize Dench, Kirsten Akroyd, Burt Temple"
"Bugsy Song","2","Woody Jolie, Kirsten Akroyd"
"Bull Shawshank","8","Nick Wahlberg, Sandra Kilmer, Alec Wayne, Kirk Jovovich, Dan Streep, Julianne Dench, Angela Witherspoon, Jayne Nolte"
"Bulworth Commandments","4","Penelope Guiness, Angela Hudson, Scarlett Bening, Alan Dreyfuss"
"Bunch Minds","8","Karl Berry, Woody Hoffman, Johnny Cage, Chris Bridges, Greta Keitel, Ewan Gooding, Jada Ryder, Laurence Bullock"
"Butch Panther","3","Cuba Olivier, Carmen Hunt, Groucho Dunst"
"Butterfly Chocolat","7","Nick Stallone, Mena Temple, Kim Allen, Lisa Monroe, Ed Guiness, Burt Temple, Mary Keitel"
"Cabin Flash","4","Uma Wood, Alec Wayne, Ben Willis, Renee Ball"
"Caddyshack Jedi","7","Ed Chase, Elvis Marx, Tom Mckellen, Natalie Hopkins, Kenneth Paltrow, Meryl Gibson, Rock Dukakis"
"Calendar Gunfight","8","Bette Nicholson, Cameron Streep, Tim Hackman, Milla Peck, Gary Phoenix, Gina Degeneres, Greta Keitel, Whoopi Hurt"
"California Birds","2","Scarlett Bening, Russell Close"
"Camelot Vacation","2","Jude Cruise, Albert Nolte"
"Campus Remember","3","Matthew Johansson, Reese Kilmer, Will Wilson"
"Candidate Perdition","4","Sandra Kilmer, Sidney Crowe, Morgan Hopkins, Thora Temple"
"Candles Grapes","7","Sandra Kilmer, Reese Kilmer, Angela Hudson, Milla Keitel, Charlize Dench, Albert Johansson, John Suvari"
"Canyon Stock","6","Zero Cage, Val Bolger, Ralph Cruz, Spencer Depp, Matthew Leigh, Russell Temple"
"Caper Motions","7","Helen Voight, Audrey Olivier, Val Bolger, Christian Akroyd, Kevin Garland, Cate Mcqueen, Burt Temple"
"Caribbean Liberty","8","Ben Willis, Ellen Presley, Chris Bridges, Susan Davis, Jane Jackman, Kim Allen, Harvey Hope, Laurence Bullock"
"Carol Texas","7","Fred Costner, Gary Phoenix, Dustin Tautou, Ben Willis, Vivien Basinger, Oprah Kilmer, Thora Temple"
"Carrie Bunch","7","Val Bolger, Mena Temple, Jude Cruise, Angelina Astaire, Kenneth Torn, Greta Malden, Bela Walken"
"Casablanca Super","4","Kirsten Akroyd, Walter Torn, Angela Witherspoon, Reese West"
"Casper Dragonfly","5","Helen Voight, Ray Johansson, Ralph Cruz, Ellen Presley, Walter Torn"
"Cassidy Wyoming","7","Cuba Olivier, Sandra Kilmer, Audrey Olivier, Angela Hudson, Lucille Dee, Angela Witherspoon, Mary Keitel"
"Casualties Encino","5","Cameron Streep, Mena Temple, Daryl Wahlberg, Groucho Dunst, Susan Davis"
"Cat Coneheads","4","Helen Voight, Angela Witherspoon, Laura Brody, Renee Ball"
"Catch Amistad","5","Johnny Cage, Christian Akroyd, Kenneth Pesci, Dan Streep, Ian Tandy"
"Cause Date","6","Penelope Pinkett, Dustin Tautou, Jayne Neeson, William Hackman, Jayne Silverstone, Reese West"
"Celebrity Horn","4","Dustin Tautou, Matthew Leigh, Angela Witherspoon, Jayne Silverstone"
"Center Dinosaur","4","Alec Wayne, Fay Winslet, Geoffrey Heston, Ed Guiness"
"Chainsaw Uptown","2","Nick Wahlberg, Gene Hopkins"
"Chamber Italian","7","Alec Wayne, Henry Berry, Rip Winslet, Gina Degeneres, Adam Hopper, Richard Penn, Emily Dee"
"Champion Flatliners","4","Frances Day-Lewis, Jude Cruise, Cameron Wray, Gene Willis"
"Chance Resurrection","6","Milla Peck, Christian Akroyd, Ben Willis, Whoopi Hurt, Angela Witherspoon, Meryl Allen"
"Chaplin License","6","Tim Hackman, Penelope Cronyn, Groucho Dunst, Gina Degeneres, Cuba Allen, Minnie Kilmer"
"Charade Duffel","3","Greg Chaplin, Kirsten Akroyd, Warren Nolte"
"Chariots Conspiracy","2","Gina Degeneres, Michael Bolger"
"Chasing Fight","5","Tom Miranda, Jada Ryder, Fay Winslet, Russell Temple, Mena Hopper"
"Cheaper Clyde","2","Penelope Guiness, Lucille Tracy"
"Chicago North","8","Mae Hoffman, Cuba Allen, Liza Bergman, Kevin Garland, River Dean, Meryl Gibson, Burt Temple, Jayne Silverstone"
"Chicken Hellfighters","2","Kirsten Paltrow, Henry Berry"
"Chill Luck","5","Mary Tandy, Burt Posey, Woody Jolie, Meg Hawke, Warren Jackman"
"Chinatown Gladiator","10","Uma Wood, Dan Torn, Bob Fawcett, Jude Cruise, Jessica Bailey, Sean Williams, Penelope Monroe, Geoffrey Heston, Jeff Silverstone, Jayne Silverstone"
"Chisum Behavior","4","Nick Wahlberg, Gene Hopkins, Fay Winslet, Julia Fawcett"
"Chitty Lock","13","Johnny Lollobrigida, Lucille Tracy, Elvis Marx, Sissy Sobieski, Val Bolger, Susan Davis, Russell Temple, Al Garland, Nick Degeneres, Olympia Pfeiffer, Lisa Monroe, Humphrey Garland, Rock Dukakis"
"Chocolat Harry","5","Joe Swank, Rip Crawford, Kirk Jovovich, Jane Jackman, Reese West"
"Chocolate Duck","7","Joe Swank, Cameron Streep, Gary Penn, Minnie Zellweger, Julianne Dench, Humphrey Willis, Groucho Williams"
"Christmas Moonshine","3","Penelope Monroe, Emily Dee, Thora Temple"
"Cider Desire","5","Julia Mcqueen, Jodie Degeneres, Frances Day-Lewis, Penelope Pinkett, Jon Chase"
"Cincinatti Whisperer","4","Anne Cronyn, Russell Bacall, Cuba Allen, Julianne Dench"
"Circus Youth","2","Bob Fawcett, Matthew Carrey"
"Citizen Shrek","8","Kevin Bloom, Gary Phoenix, Jude Cruise, Cary Mcconaughey, Kenneth Torn, Russell Temple, Ben Harris, Ian Tandy"
"Clash Freddy","7","Uma Wood, Vivien Bergen, Helen Voight, Milla Peck, Liza Bergman, Kim Allen, Alan Dreyfuss"
"Cleopatra Devil","7","Karl Berry, Fred Costner, Ewan Gooding, Kim Allen, Fay Wood, William Hackman, John Suvari"
"Clerks Angels","4","Penelope Cronyn, Susan Davis, Adam Hopper, Bela Walken"
"Clockwork Paradise","5","Spencer Peck, Sylvester Dern, Salma Nolte, Kevin Garland, Lucille Dee"
"Clones Pinocchio","5","Matthew Johansson, Angela Hudson, Sidney Crowe, Salma Nolte, Meryl Gibson"
"Closer Bang","6","Kirsten Paltrow, Jodie Degeneres, Russell Temple, Greta Malden, Ed Guiness, Julia Fawcett"
"Club Graffiti","4","Tom Mckellen, Morgan Williams, Lisa Monroe, Debbie Akroyd"
"Clue Grail","6","Kirk Jovovich, Rip Winslet, Spencer Peck, Liza Bergman, Gene Hopkins, Meryl Allen"
"Clueless Bucket","8","Uma Wood, Charlize Dench, Gina Degeneres, Cameron Zellweger, Morgan Mcdormand, Adam Hopper, Alan Dreyfuss, Jon Chase"
"Clyde Theory","4","Sissy Sobieski, Johnny Cage, Greg Chaplin, Meryl Allen"
"Coast Rainbow","10","Bette Nicholson, Cameron Streep, Sissy Sobieski, Reese Kilmer, Frances Day-Lewis, Angela Witherspoon, Oprah Kilmer, Lisa Monroe, Burt Temple, Reese West"
"Coldblooded Darling","4","Bette Nicholson, Lucille Tracy, Ben Willis, Gina Degeneres"
"Color Philadelphia","7","Penelope Guiness, Groucho Dunst, Salma Nolte, Daryl Crawford, Christopher West, Olympia Pfeiffer, John Suvari"
"Coma Head","3","Cameron Wray, Renee Tracy, Geoffrey Heston"
"Comancheros Enemy","5","Goldie Brody, Cate Mcqueen, Jayne Nolte, Michael Bening, Renee Ball"
"Comforts Rush","5","Russell Temple, Meryl Gibson, Humphrey Willis, Humphrey Garland, Bela Walken"
"Command Darling","8","Grace Mostel, Burt Posey, Kenneth Pesci, Liza Bergman, Rita Reynolds, Ewan Gooding, Geoffrey Heston, Meryl Gibson"
"Commandments Express","4","Johnny Lollobrigida, Burt Dukakis, Warren Jackman, Cuba Birch"
"Coneheads Smoochy","9","Johnny Lollobrigida, Dan Torn, Julia Mcqueen, Alec Wayne, Audrey Olivier, Julia Barrymore, Gina Degeneres, Warren Jackman, Richard Penn"
"Confessions Maguire","4","Grace Mostel, Russell Bacall, Warren Jackman, Audrey Bailey"
"Confidential Interview","2","Parker Goldberg, Sylvester Dern"
"Confused Candles","6","Christian Akroyd, Ralph Cruz, James Pitt, Albert Nolte, River Dean, Gene Mckellen"
"Congeniality Quest","3","Tom Mckellen, Nick Stallone, Christopher Berry"
"Connecticut Tramp","7","Karl Berry, Fred Costner, Johnny Cage, Henry Berry, Meg Hawke, Albert Johansson, Vivien Basinger"
"Connection Microcosmos","7","Cameron Streep, Natalie Hopkins, Scarlett Damon, Renee Tracy, Fay Winslet, Russell Temple, Vivien Basinger"
"Conquerer Nuts","6","Matthew Johansson, Kirsten Paltrow, Kevin Bloom, Henry Berry, Cameron Zellweger, John Suvari"
"Conspiracy Spirit","4","Kirk Jovovich, Minnie Kilmer, Christopher West, Mena Hopper"
"Contact Anonymous","5","Mena Temple, Christopher Berry, Morgan Hopkins, Ewan Gooding, Olympia Pfeiffer"
"Control Anthem","3","Bob Fawcett, Audrey Olivier, Charlize Dench"
"Conversation Downhill","3","Dustin Tautou, Chris Bridges, Greta Malden"
"Core Suit","4","Penelope Pinkett, Penelope Cronyn, Angela Witherspoon, Mena Hopper"
"Cowboy Doom","5","Ed Chase, Milla Keitel, Julianne Dench, Whoopi Hurt, Gregory Gooding"
"Craft Outfield","6","Rip Crawford, Henry Berry, Scarlett Damon, Liza Bergman, Jada Ryder, Mary Keitel"
"Cranes Reservoir","6","Vivien Bergen, Reese Kilmer, Angelina Astaire, Charlize Dench, Laura Brody, Julia Zellweger"
"Crazy Home","13","Sissy Sobieski, Woody Jolie, Meg Hawke, Russell Bacall, Morgan Mcdormand, Albert Nolte, Cate Harris, Russell Temple, Vivien Basinger, Harvey Hope, Will Wilson, Alan Dreyfuss, Gene Mckellen"
"Creatures Shakespeare","3","Susan Davis, Groucho Dunst, Reese West"
"Creepers Kane","6","Christopher Berry, Sylvester Dern, Renee Tracy, Scarlett Bening, Jayne Nolte, William Hackman"
"Crooked Frogmen","6","Joe Swank, Christian Gable, Cate Harris, Albert Johansson, Laurence Bullock, William Hackman"
"Crossing Divorce","2","Jude Cruise, Milla Keitel"
"Crossroads Casualties","8","Bette Nicholson, Kenneth Pesci, Kenneth Torn, Frances Tomei, Ed Mansfield, Russell Temple, Meryl Gibson, Ed Guiness"
"Crow Grease","10","Cameron Streep, Jodie Degeneres, Scarlett Damon, Chris Bridges, Walter Torn, Groucho Dunst, Cameron Zellweger, Morgan Mcdormand, Frances Tomei, Lisa Monroe"
"Crowds Telemark","4","Matthew Johansson, Anne Cronyn, Jeff Silverstone, Matthew Carrey"
"Cruelty Unforgiven","2","Greg Chaplin, Will Wilson"
"Crusade Honey","9","Tim Hackman, Fay Kilmer, Ray Johansson, Sean Guiness, Meg Hawke, Matthew Leigh, Renee Tracy, Albert Johansson, Lisa Monroe"
"Crystal Breaking","5","Reese Kilmer, Jayne Neeson, Penelope Cronyn, Liza Bergman, Fay Wood"
"Cupboard Sinners","8","Helen Voight, Cameron Streep, Tim Hackman, Christian Akroyd, Spencer Peck, Matthew Leigh, Frances Tomei, Jada Ryder"
"Curtain Videotape","3","Joe Swank, Walter Torn, Ewan Gooding"
"Cyclone Family","3","Helen Voight, Rip Crawford, Judy Dean"
"Daddy Pittsburgh","5","Johnny Lollobrigida, Kenneth Paltrow, Michelle Mcconaughey, Kevin Garland, Daryl Crawford"
"Daisy Menagerie","7","Johnny Lollobrigida, Uma Wood, Goldie Brody, Jodie Degeneres, Carmen Hunt, Milla Keitel, Minnie Kilmer"
"Dalmations Sweden","6","Joe Swank, Kevin Bloom, Val Bolger, Groucho Dunst, Albert Nolte, Al Garland"
"Dances None","5","Matthew Johansson, Zero Cage, Rip Winslet, Mae Hoffman, Walter Torn"
"Dancing Fever","6","Kenneth Torn, Matthew Leigh, Jane Jackman, Jayne Nolte, Laura Brody, Rock Dukakis"
"Dangerous Uptown","8","Anne Cronyn, Mary Tandy, Ralph Cruz, Spencer Peck, Kirsten Akroyd, Daryl Wahlberg, Cate Harris, Albert Johansson"
"Dares Pluto","10","Karl Berry, Bob Fawcett, Cameron Wray, Warren Nolte, Penelope Monroe, Greta Keitel, Meryl Gibson, Laura Brody, Will Wilson, Julia Zellweger"
"Darkness War","2","Gene Willis, Gina Degeneres"
"Darko Dorado","4","Dustin Tautou, Morgan Mcdormand, Richard Penn, Greta Malden"
"Darling Breaking","2","Frances Day-Lewis, Jayne Neeson"
"Darn Forrester","9","Bob Fawcett, Sandra Kilmer, Jodie Degeneres, Ralph Cruz, Charlize Dench, Sean Guiness, Chris Bridges, Cate Mcqueen, Mena Hopper"
"Date Speed","4","Karl Berry, Kevin Bloom, Jude Cruise, Rip Winslet"
"Daughter Madigan","4","Milla Peck, Ed Mansfield, Lucille Dee, John Suvari"
"Dawn Pond","6","Rip Winslet, Scarlett Damon, Matthew Leigh, Vivien Basinger, Groucho Williams, Meryl Allen"
"Day Unfaithful","5","Karl Berry, Minnie Zellweger, Greg Chaplin, Angela Witherspoon, Julia Fawcett"
"Dazed Punk","6","Grace Mostel, Bob Fawcett, Ben Willis, Geoffrey Heston, Ben Harris, Greta Malden"
"Deceiver Betrayed","4","Grace Mostel, Fred Costner, Morgan Hopkins, Albert Johansson"
"Deep Crusade","7","Tim Hackman, Reese Kilmer, Scarlett Damon, Warren Nolte, Gene Hopkins, Olympia Pfeiffer, Gregory Gooding"
"Deer Virginian","3","Gina Degeneres, Liza Bergman, Ian Tandy"
"Deliverance Mulholland","3","Fred Costner, Matthew Leigh, Humphrey Garland"
"Desert Poseidon","5","Goldie Brody, Henry Berry, Burt Posey, Liza Bergman, Renee Ball"
"Desire Alien","7","Tom Mckellen, Johnny Cage, Angelina Astaire, Julianne Dench, Cate Harris, Laura Brody, Rock Dukakis"
"Desperate Trainspotting","4","Cary Mcconaughey, Renee Tracy, Morgan Williams, Renee Ball"
"Destination Jerk","3","Grace Mostel, Rip Crawford, Cameron Wray"
"Destiny Saturday","7","Nick Wahlberg, Sandra Kilmer, Kevin Bloom, Alec Wayne, Dan Harris, Mary Tandy, Emily Dee"
"Details Packer","2","Michelle Mcconaughey, Salma Nolte"
"Detective Vision","3","Kenneth Torn, Angela Witherspoon, Julia Zellweger"
"Devil Desire","5","Mary Tandy, Kirsten Akroyd, Groucho Dunst, Ed Mansfield, Ewan Gooding"
"Diary Panic","4","Jodie Degeneres, Mary Tandy, Mae Hoffman, Daryl Crawford"
"Dinosaur Secretary","6","Lucille Tracy, Burt Dukakis, Jayne Neeson, Russell Bacall, Penelope Monroe, Minnie Kilmer"
"Dirty Ace","5","Vivien Bergen, Scarlett Damon, River Dean, Geoffrey Heston, Meryl Allen"
"Disciple Mother","7","Johnny Cage, Julia Barrymore, Adam Grant, Penelope Cronyn, Ewan Gooding, Jayne Nolte, Matthew Carrey"
"Disturbing Scarface","4","Angelina Astaire, Kenneth Pesci, Julianne Dench, Audrey Bailey"
"Divide Monster","6","Sandra Kilmer, Christian Akroyd, Henry Berry, Christian Neeson, Alan Dreyfuss, Gene Mckellen"
"Divine Resurrection","5","Christian Gable, Cuba Olivier, Helen Voight, Dan Harris, Kenneth Paltrow"
"Divorce Shining","6","Christian Neeson, Sean Williams, Morgan Mcdormand, Will Wilson, Gene Mckellen, Julia Zellweger"
"Doctor Grail","6","James Pitt, Penelope Monroe, Salma Nolte, Albert Nolte, Cate Mcqueen, Jon Chase"
"Dogma Family","7","Kirk Jovovich, Henry Berry, Groucho Sinatra, Sidney Crowe, Gina Degeneres, River Dean, Christopher West"
"Dolls Rage","1","Cary Mcconaughey"
